isco88,rti,weeklywage,Level,Cumulative
82,1.60,2.48,9.05,9.05
74,1.41,2.32,7.52,16.57
81,1.21,2.53,1.37,17.94
73,1.16,2.50,1.13,19.07
41,0.78,2.85,7.62,26.69
72,0.55,2.65,5.95,32.64
42,0.46,2.92,2.63,35.27
93,0.25,2.36,4.05,39.32
71,0.15,2.49,5.53,44.85
91,0.03,2.41,7.36,52.21
52,-0.21,2.26,6.29,58.50
61,-0.25,2.36,0.51,59.01
34,-0.36,3.02,4.32,63.33
24,-0.61,3.21,2.50,65.83
32,-0.71,3.15,1.43,67.26
51,-0.79,2.55,10.43,77.69
13,-0.81,2.64,1.04,78.74
21,-0.86,3.40,1.25,79.99
31,-0.87,2.98,3.04,83.02
83,-0.91,2.57,8.25,91.27
92,-1.13,2.13,1.34,92.62
12,-1.18,3.44,2.55,95.17
22,-1.27,3.54,0.86,96.03
23,-2.27,3.53,3.97,100.00
