isco88,nr_cog_anal,nr_cog_pers,r_cog,r_man,nr_man_phys,nr_man_pers
11,1.92,-0.30,-1.90,-2.74,-2.74,1.24
12,1.80,2.77,-0.47,-0.96,-1.26,1.17
21,2.71,1.00,-0.05,-1.01,-1.18,0.17
22,2.09,1.58,0.70,-0.57,-0.54,1.05
23,2.10,1.90,-1.40,-1.96,-1.55,1.33
24,1.94,1.08,-0.88,-1.54,-1.62,1.14
31,1.37,0.47,0.56,-0.10,0.06,-0.02
32,1.16,1.40,0.79,-0.67,-0.83,1.25
34,1.21,0.77,-0.16,-1.07,-1.20,0.85
41,0.21,0.10,1.58,-0.37,-1.07,0.27
42,0.79,1.26,3.34,0.35,-1.12,1.30
51,0.37,0.92,0.14,-0.46,-0.18,1.24
52,-0.08,-0.13,-1.51,-1.31,-0.97,1.06
71,-0.78,-0.58,-0.37,0.34,0.81,-0.99
72,-0.85,-1.02,-0.55,0.49,0.81,-1.05
73,-0.69,-1.27,0.11,0.50,0.11,-1.34
74,-0.86,-1.16,0.34,0.93,0.08,-0.97
81,-0.80,-0.75,-0.55,1.38,0.14,-1.19
82,-1.17,-1.30,0.64,1.88,0.88,-1.43
83,-0.29,0.14,0.10,0.85,1.78,-0.19
91,-0.45,-0.47,-0.62,-0.33,0.06,-0.04
92,-0.55,-0.93,-1.61,0.00,1.35,-1.26
93,-0.87,-0.16,0.87,0.82,0.71,-0.58
