               ,(1),(2),(3),(4)
               ,logdif_emp_p1,logdif_emp_p2,logdif_wage_p1,logdif_wage_p2
,,,,
rti            ,-0.06*,-0.95,-0.05*,0.49
               ,(0.02),(0.15),(0.04),(0.12)
,,,,
rti # rti      ,-0.00,0.65,-0.00,-0.17
               ,(0.80),(0.22),(0.76),(0.50)
,,,,
Constant       ,0.01,0.26,0.42***,-0.10
               ,(0.79),(0.15),(0.00),(0.24)
,,,,
Observations   ,22,32,22,32
R-squared      ,0.273,0.098,0.198,0.412
Adjusted R-squared,0.197,0.036,0.114,0.372
,,,,
p-values in parentheses,,,,
"=""* p<0.05", ** p<0.01," *** p<0.001""",,
