               ,(1),(2),(3),(4)
               ,logdif_emp_p1,logdif_emp_p2,logdif_wage_p1,logdif_wage_p2
,,,,
rti_piaac      ,0.01,-0.06,-0.10,0.67*
               ,(0.93),(0.92),(0.10),(0.04)
,,,,
rti_piaac # rti_piaac,0.05,-0.09,-0.03,-0.47
               ,(0.35),(0.88),(0.49),(0.16)
,,,,
Constant       ,-0.02,0.02,0.43***,-0.06
               ,(0.67),(0.89),(0.00),(0.40)
,,,,
Observations   ,22,32,22,32
R-squared      ,0.051,0.026,0.138,0.242
Adjusted R-squared,-0.048,-0.041,0.047,0.190
,,,,
p-values in parentheses,,,,
"=""* p<0.05", ** p<0.01," *** p<0.001""",,
