="Table 1. Unconditional Quantile Regression Coefficients on Log Wages"
="",="2004/06",="",="",="2011/12",="",=""
="",="Q10",="Q50",="Q90",="Q10",="Q50",="Q90"
="Non-Married",="-0.441***",="-0.261***",="-0.107***",="-0.249***",="-0.200***",="-0.103***"
="",="(0.006)",="(0.003)",="(0.004)",="(0.004)",="(0.003)",="(0.004)"
="Part-time",="-1.086***",="-0.224***",="-0.144***",="-1.123***",="-0.302***",="-0.220***"
="",="(0.023)",="(0.012)",="(0.013)",="(0.011)",="(0.008)",="(0.010)"
="Non-permanent",="-0.896***",="-0.155***",="-0.086***",="-0.388***",="0.016**",="0.043***"
="",="(0.013)",="(0.007)",="(0.008)",="(0.007)",="(0.005)",="(0.006)"
="Below Primary school",="-0.483***",="-0.181***",="-0.027**",="-0.168***",="-0.099***",="0.010"
="",="(0.015)",="(0.008)",="(0.009)",="(0.010)",="(0.007)",="(0.008)"
="High School + Voc. High School",="0.264***",="0.220***",="0.140***",="0.226***",="0.188***",="0.096***"
="",="(0.007)",="(0.004)",="(0.004)",="(0.005)",="(0.004)",="(0.004)"
="College",="0.425***",="0.463***",="0.494***",="0.329***",="0.433***",="0.543***"
="",="(0.010)",="(0.005)",="(0.006)",="(0.007)",="(0.005)",="(0.006)"
="Exper < 5 yrs",="0.015",="-0.307***",="-0.419***",="-0.087",="-0.381***",="-0.339***"
="",="(0.062)",="(0.033)",="(0.036)",="(0.050)",="(0.037)",="(0.044)"
="Exper 6-10 yrs",="0.161**",="-0.070*",="-0.324***",="0.007",="-0.203***",="-0.252***"
="",="(0.062)",="(0.033)",="(0.037)",="(0.051)",="(0.037)",="(0.044)"
="Exper 11-15 yrs",="0.169**",="0.037",="-0.201***",="-0.001",="-0.097**",="-0.141**"
="",="(0.062)",="(0.033)",="(0.037)",="(0.051)",="(0.037)",="(0.044)"
="Exper 16-20 yrs",="0.170**",="0.127***",="-0.092*",="-0.009",="-0.053",="-0.011"
="",="(0.062)",="(0.033)",="(0.037)",="(0.051)",="(0.037)",="(0.044)"
="Exper 21-25 yrs",="0.170**",="0.149***",="-0.015",="-0.011",="0.025",="0.002"
="",="(0.063)",="(0.033)",="(0.037)",="(0.051)",="(0.037)",="(0.044)"
="Exper 26-30 yrs",="0.138*",="0.077*",="0.008",="-0.010",="0.036",="0.098*"
="",="(0.057)",="(0.031)",="(0.034)",="(0.048)",="(0.035)",="(0.041)"
="Exper > 30 yrs",="-0.029",="-0.010",="-0.046",="-0.048",="-0.056",="0.030"
="",="(0.052)",="(0.027)",="(0.031)",="(0.046)",="(0.034)",="(0.040)"
="Managers",="-0.169***",="0.401***",="0.591***",="-0.152***",="0.468***",="0.746***"
="",="(0.016)",="(0.009)",="(0.010)",="(0.011)",="(0.008)",="(0.010)"
="Professionals",="0.143***",="0.431***",="0.194***",="0.061***",="0.470***",="0.304***"
="",="(0.014)",="(0.007)",="(0.008)",="(0.010)",="(0.007)",="(0.008)"
="Technicians and Associate Professionals",="0.204***",="0.435***",="0.196***",="0.067***",="0.449***",="0.064***"
="",="(0.012)",="(0.006)",="(0.007)",="(0.009)",="(0.006)",="(0.007)"
="Clerks",="0.173***",="0.307***",="-0.018*",="0.037***",="0.275***",="-0.098***"
="",="(0.012)",="(0.006)",="(0.007)",="(0.008)",="(0.006)",="(0.007)"
="Services and Sales Workers",="-0.065***",="0.175***",="0.088***",="-0.106***",="0.121***",="0.168***"
="",="(0.010)",="(0.005)",="(0.006)",="(0.007)",="(0.005)",="(0.006)"
="Craft and Related Trade Workers",="0.026**",="0.204***",="0.075***",="0.055***",="0.290***",="0.042***"
="",="(0.010)",="(0.005)",="(0.006)",="(0.007)",="(0.005)",="(0.006)"
="Plant and Machine Operators",="0.329***",="0.314***",="0.073***",="0.173***",="0.293***",="0.021***"
="",="(0.010)",="(0.005)",="(0.006)",="(0.007)",="(0.005)",="(0.006)"
="Agriculture",="-0.523***",="0.061***",="0.200***",="-0.388***",="0.003",="0.083***"
