,(1),(2),(3),(4),(5),(6)
,abstract,abstract,routine,routine,manual,manual
,,,,,,
edcat5=1,0.00,0.00,0.00,0.00,0.00,0.00
,(.),(.),(.),(.),(.),(.)
edcat5=2,0.23***,0.13*,-0.13*,-0.04,-0.10,0.05
,(0.06),(0.05),(0.06),(0.06),(0.06),(0.06)
edcat5=4,0.70***,0.50***,-0.51***,-0.30***,-0.18,0.06
,(0.09),(0.09),(0.09),(0.09),(0.10),(0.09)
edcat5=5,1.05***,0.68***,-0.78***,-0.39***,-0.35***,-0.06
,(0.08),(0.09),(0.08),(0.10),(0.09),(0.10)
edcat5=6,1.39***,0.96***,-1.10***,-0.63***,-0.58***,-0.24
,(0.15),(0.15),(0.15),(0.16),(0.16),(0.16)
compex,-0.30***,-0.20**,0.40***,0.36***,0.20**,0.04
,(0.06),(0.06),(0.06),(0.06),(0.07),(0.06)
exp,0.02*,0.01,-0.04***,-0.04***,0.01,0.01
,(0.01),(0.01),(0.01),(0.01),(0.01),(0.01)
exp_sq_100,-0.04,-0.03,0.10***,0.09***,-0.04,-0.03
,(0.02),(0.02),(0.02),(0.02),(0.02),(0.02)
pared=1,0.00,0.00,0.00,0.00,0.00,0.00
,(.),(.),(.),(.),(.),(.)
pared=2,0.03,-0.04,-0.18*,-0.14,-0.07,-0.06
,(0.08),(0.07),(0.08),(0.08),(0.08),(0.08)
pared=3,0.29**,0.24*,-0.27*,-0.23*,-0.23*,-0.23*
,(0.10),(0.10),(0.11),(0.10),(0.11),(0.10)
male,-0.12*,-0.12*,0.09,0.11*,0.12*,0.17**
,(0.05),(0.05),(0.05),(0.05),(0.06),(0.05)
age_int_5,0.01,-0.00,-0.01,-0.00,-0.06***,-0.05**
,(0.02),(0.01),(0.02),(0.02),(0.02),(0.02)
Constant,-0.39,-0.59*,0.73***,0.99***,-0.21,-0.68*
,(0.21),(0.27),(0.22),(0.28),(0.23),(0.28)
,,,,,,
Observations,1691,1691,1692,1692,1694,1694
Adjusted R-squared,0.282,0.355,0.279,0.344,0.185,0.326
,,,,,,
Standard errors in parentheses,,,,,,
"=""* p<0.05", ** p<0.01," *** p<0.001""",,,,
