               ,(1),(2),(3),(4),(5),(6)
               ,hincome,hincome,hincome,hincome,hincome,hincome
abstract       ,0.40***,0.37***,0.40***,0.26**,0.23*,0.26**
               ,(0.00),(0.00),(0.00),(0.01),(0.01),(0.01)
routine        ,-0.29**,-0.30**,-0.28**,-0.07,-0.08,-0.07
               ,(0.00),(0.00),(0.00),(0.44),(0.36),(0.45)
manual         ,-0.38***,-0.46***,-0.37***,-0.24**,-0.19**,-0.23**
               ,(0.00),(0.00),(0.00),(0.00),(0.01),(0.00)
occ_mean_abs   ,-0.14,-0.20,-0.17,-0.48,-0.44,-0.54
               ,(0.71),(0.62),(0.65),(0.20),(0.21),(0.15)
occ_mean_rou   ,-1.23***,-1.17**,-1.30***,-0.80*,-0.67*,-0.85*
               ,(0.00),(0.00),(0.00),(0.04),(0.05),(0.03)
occ_mean_man   ,0.14,0.04,0.13,0.18,0.18,0.16
               ,(0.45),(0.83),(0.48),(0.31),(0.30),(0.36)
abstract X occ_mean_abs,,0.03,,-0.17,,-0.17
               ,,(0.86),,(0.25),,(0.26)
routine X occ_mean_rou,,0.10,,-0.07,,-0.06
               ,,(0.53),,(0.65),,(0.66)
manual X occ_mean_man,,-0.37**,,-0.18,,-0.18
               ,,(0.01),,(0.14),,(0.14)
male           ,,,-0.28,-0.11,-0.13,-0.12
               ,,,(0.08),(0.48),(0.40),(0.43)
edcat5=1       ,,,,0.00,0.00,0.00
edcat5=2       ,,,,0.89***,0.92***,0.88***
               ,,,,(0.00),(0.00),(0.00)
edcat5=4       ,,,,1.67***,1.71***,1.66***
               ,,,,(0.00),(0.00),(0.00)
edcat5=5       ,,,,3.14***,3.03***,3.03***
               ,,,,(0.00),(0.00),(0.00)
edcat5=6       ,,,,3.10***,2.85***,2.96***
               ,,,,(0.00),(0.00),(0.00)
exp            ,,,,0.20***,0.20***,0.20***
               ,,,,(0.00),(0.00),(0.00)
exp_sq_100     ,,,,-0.41***,-0.41***,-0.41***
               ,,,,(0.00),(0.00),(0.00)
motherseduc    ,,,,,0.37,0.37
               ,,,,,(0.08),(0.08)
Constant       ,5.37***,5.45***,5.72***,3.45***,2.96***,3.08***
               ,(0.00),(0.00),(0.00),(0.00),(0.00),(0.00)
,,,,,,
Observations   ,1527,1527,1527,1524,1522,1522
Adjusted R-squared,0.171,0.174,0.172,0.310,0.310,0.311
,,,,,,
p-values in parentheses,,,,,,
"=""* p<0.05", ** p<0.01," *** p<0.001""",,,,
